,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,host_listings_count,availability_365
171,40.83232,-73.93184,40,1,219,2.04,3,353
207,40.83075,-73.93058,45,1,138,1.45,3,323
260,40.81309,-73.85514,90,2,0,0,7,349
261,40.88057,-73.83572,105,2,38,0.5,13,365
309,40.87207,-73.90193,90,30,4,0.35,2,346
433,40.89747,-73.8639,77,1,197,2.49,1,309
484,40.85811,-73.90675,37,4,117,1.21,1,232
510,40.86466,-73.85709,125,2,271,2.84,2,347
557,40.82802,-73.92039,50,3,258,2.7,2,276
610,40.83001,-73.92158,50,5,235,2.49,2,271
645,40.8679,-73.90023,42,2,108,1.36,2,302
737,40.89557,-73.8447,50,2,15,0.17,1,337
966,40.87991,-73.91673,120,2,47,1.22,1,318
1060,40.81128,-73.92399,49,1,23,0.27,1,333
1069,40.81611,-73.89909,100,5,82,0.96,1,63
1167,40.8687,-73.8524,35,7,2,0.17,1,90
1193,40.84937,-73.91328,45,3,190,2.21,2,329
1228,40.82822,-73.92439,250,3,119,1.41,1,339
1578,40.85956,-73.87067,39,2,169,2.07,4,306
1666,40.8584,-73.86969,49,2,189,2.32,4,238
1706,40.85914,-73.86979,38,1,187,2.34,4,241
1724,40.80461,-73.92276,60,3,86,1.13,2,1
1749,40.88757,-73.90522,60,1,25,0.67,1,311
1965,40.84058,-73.91382,30,2,291,3.69,1,208
2105,40.85235,-73.78873,84,3,67,0.91,1,0
2198,40.81906,-73.92806,85,2,11,0.18,2,363
2411,40.80904,-73.93037,65,2,64,0.87,1,307
2498,40.81291,-73.90772,60,2,147,2.02,1,213
2587,40.88166,-73.91103,90,3,0,0,1,353
2752,40.80011,-73.9133,60,21,19,0.28,2,178
2930,40.88296,-73.86264,50,1,19,0.83,1,311
2983,40.82138,-73.87603,45,3,53,0.82,1,249
2999,40.84367,-73.91718,43,2,11,0.16,1,338
3050,40.86317,-73.82494,75,2,32,0.46,13,363
3239,40.83645,-73.86634,195,5,1,0.02,1,0
3245,40.85258,-73.78762,120,3,84,1.26,1,16
3280,40.80844,-73.92889,140,30,16,0.24,1,365
3349,40.90804,-73.90005,53,2,143,2.13,1,263
3439,40.85667,-73.86543,80,1,1,0.02,1,0
3476,40.82347,-73.89495,65,4,26,0.85,2,7
3693,40.86467,-73.90125,75,2,11,0.2,1,365
3809,40.88579,-73.91599,250,7,2,0.04,1,338
3889,40.88437,-73.89746,32,2,6,0.16,1,83
3923,40.82528,-73.86004,50,2,32,0.51,2,156
4035,40.87605,-73.88047,70,6,40,0.73,1,313
4085,40.83012,-73.92714,41,2,12,0.35,2,0
4094,40.86646,-73.82154,80,3,2,0.03,1,365
4140,40.84192,-73.91108,40,3,46,0.72,2,292
4182,40.80091,-73.91449,71,4,18,0.37,2,45
4226,40.86705,-73.88545,55,7,10,0.16,1,365
4265,40.80554,-73.92606,120,4,89,1.54,2,0
4287,40.85711,-73.91594,44,2,135,2.13,4,70
4442,40.83288,-73.91834,50,1,21,0.36,3,188
4568,40.88075,-73.84845,95,3,58,0.96,4,358
4572,40.89603,-73.89958,75,5,35,0.67,1,300
4709,40.81444,-73.92516,75,2,85,1.41,2,253
4795,40.86677,-73.85938,49,2,114,1.87,4,240
4826,40.86689,-73.85776,47,2,75,1.27,4,172
4828,40.81055,-73.92482,55,1,231,3.95,2,16
4897,40.81049,-73.9043,79,2,11,0.19,1,0
5051,40.81954,-73.92715,105,1,3,0.14,2,365
5054,40.82603,-73.92312,87,6,11,0.28,1,0
5087,40.88855,-73.85127,50,7,12,0.55,1,0
5217,40.84611,-73.91036,40,3,59,1,1,343
5241,40.8105,-73.92507,55,1,276,4.63,2,19
5260,40.80772,-73.91791,53,1,321,5.46,1,44
5319,40.89022,-73.9039,95,14,3,0.13,1,0
5381,40.81321,-73.90259,100,3,2,0.22,2,207
5441,40.80866,-73.92069,45,5,14,0.28,1,0
5466,40.81192,-73.85334,155,1,19,0.35,7,332
5467,40.81225,-73.85349,75,2,0,0,7,349
5541,40.87786,-73.87641,50,1,108,1.84,1,261
5543,40.85696,-73.91439,47,2,122,2.15,4,71
5553,40.83331,-73.91742,90,30,1,0.04,1,358
5612,40.8806,-73.83433,75,2,37,0.73,13,364
5625,40.88009,-73.83442,68,2,41,0.74,13,365
5649,40.87184,-73.88622,51,4,109,1.88,1,212
5780,40.88399,-73.89502,110,2,0,0,1,0
5868,40.81231,-73.85535,45,1,7,0.14,7,365
5898,40.86809,-73.90201,37,2,63,1.15,2,305
6023,40.86682,-73.85812,49,2,42,0.74,4,227
6080,40.82636,-73.92655,105,30,18,0.48,1,52
6092,40.87829,-73.89337,57,3,20,0.43,1,311
6097,40.86814,-73.85874,47,2,97,1.81,4,262
6108,40.8423,-73.87055,25,30,6,0.17,4,219
6158,40.87896,-73.84978,55,28,27,0.53,4,338
6350,40.83719,-73.92015,85,1,9,0.18,1,342
6414,40.82393,-73.92414,145,5,1,0.02,1,0
6418,40.83212,-73.93054,60,1,56,1.09,3,355
6533,40.81214,-73.85371,110,1,15,0.49,7,325
6661,40.88016,-73.84923,43,28,15,0.3,4,336
6860,40.85062,-73.90251,40,14,5,0.13,1,322
6927,40.87829,-73.83471,155,2,11,0.29,13,348
6928,40.88017,-73.83484,250,1,15,1.08,13,357
6932,40.85465,-73.85669,50,1,2,0.04,1,0
7018,40.87054,-73.84681,450,2,45,0.84,4,342
7226,40.83875,-73.88728,38,3,15,0.28,3,0
7286,40.85535,-73.91388,57,2,106,2.02,4,82
7380,40.83161,-73.91958,150,4,6,0.32,1,346
7402,40.83887,-73.88805,42,2,25,0.47,3,0
7636,40.84061,-73.88858,30,3,11,0.45,3,0
7681,40.8789,-73.84855,45,14,27,0.55,4,325
7704,40.82209,-73.90086,80,1,2,0.32,1,255
7749,40.87765,-73.86318,63,5,85,2.24,1,235
7768,40.81935,-73.90772,65,5,15,0.69,2,150
7914,40.8115,-73.85607,110,2,95,1.91,1,283
8020,40.82122,-73.92773,56,2,132,2.61,3,52
8091,40.84819,-73.90648,125,2,41,0.81,2,342
8102,40.82883,-73.88854,119,4,48,0.98,1,223
8111,40.84626,-73.90473,105,2,80,1.66,2,365
8316,40.82809,-73.9159,65,4,107,2.3,1,210
8348,40.88241,-73.83422,115,1,6,0.18,13,364
8521,40.82639,-73.90363,680,1,0,0,1,0
8723,40.8198,-73.90341,99,1,0,0,1,0
8733,40.87225,-73.88748,33,7,40,0.82,1,0
8763,40.88238,-73.90689,159,3,8,0.17,2,112
9044,40.80993,-73.92613,100,2,57,1.17,2,284
9081,40.85073,-73.9128,50,3,20,0.47,2,316
9271,40.87183,-73.90371,75,1,0,0,1,0
9563,40.82873,-73.89553,120,1,142,3.1,1,345
9763,40.81335,-73.8873,40,30,15,0.32,6,333
9765,40.81395,-73.88675,40,30,21,0.44,6,343
9830,40.82381,-73.92725,110,1,1,0.02,1,0
9993,40.82417,-73.90156,95,1,182,3.82,2,0
10002,40.81229,-73.88887,40,30,19,0.4,6,287
10087,40.81387,-73.88797,37,30,13,0.28,6,333
10132,40.84423,-73.83602,59,3,113,2.42,1,290
10167,40.88001,-73.8345,62,2,5,0.12,13,320
10168,40.88211,-73.83625,45,1,1,0.37,13,318
10283,40.80247,-73.91435,90,2,152,3.25,1,299
10378,40.85205,-73.78868,107,1,73,1.73,1,173
10710,40.81476,-73.80001,325,2,44,2.23,1,153
10734,40.84328,-73.88173,79,1,3,0.16,1,179
10757,40.88301,-73.85452,65,5,17,0.4,2,123
10781,40.86789,-73.85999,63,4,40,0.87,5,0
10811,40.85362,-73.82949,150,1,0,0,1,364
10848,40.88837,-73.90939,65,1,202,4.35,1,0
10871,40.83746,-73.92268,59,4,51,1.11,2,0
10891,40.82939,-73.86514,28,2,98,2.12,3,108
11023,40.81773,-73.86164,100,2,58,1.26,1,324
11200,40.82424,-73.91316,225,1,0,0,1,0
11287,40.86711,-73.89525,65,1,0,0,1,0
11303,40.85311,-73.90861,33,2,103,2.27,2,282
11455,40.82226,-73.88906,60,3,8,0.19,1,363
11457,40.87709,-73.88228,38,1,50,1.1,4,267
11550,40.82705,-73.91337,95,2,6,0.14,1,173
11763,40.84487,-73.78954,110,2,112,2.6,1,162
11894,40.86617,-73.848,47,2,138,3.22,2,353
11950,40.81897,-73.92735,159,1,0,0,1,0
11983,40.87842,-73.9029,75,1,59,1.45,2,354
12042,40.83735,-73.85997,139,3,30,0.69,1,357
12091,40.8113,-73.92465,65,3,2,0.05,1,356
12122,40.879,-73.90062,189,1,8,0.22,2,354
12192,40.85487,-73.88711,70,7,0,0,1,0
12316,40.85753,-73.86605,85,7,9,0.25,1,364
12474,40.88165,-73.85625,34,5,17,0.4,2,313
12650,40.88422,-73.90886,85,1,0,0,1,0
12826,40.82023,-73.92844,87,1,132,3.11,2,211
12966,40.81192,-73.90949,64,3,36,0.84,1,1
13305,40.85292,-73.91683,51,2,36,0.96,1,364
13600,40.85592,-73.86743,80,7,0,0,1,0
13731,40.85598,-73.90052,35,3,2,0.06,1,0
13736,40.84721,-73.83222,37,5,10,0.25,1,0
13853,40.83953,-73.85717,88,1,121,2.9,1,170
13854,40.88808,-73.86017,85,20,10,0.24,1,277
14042,40.88777,-73.9059,70,1,1,0.03,1,0
14097,40.86553,-73.83993,35,1,67,1.81,4,11
14163,40.8506,-73.90231,109,3,62,1.51,2,58
14196,40.88214,-73.90847,99,3,1,0.07,1,311
14235,40.87223,-73.84335,95,3,206,4.98,2,144
14310,40.89694,-73.86055,90,2,199,5,2,319
14322,40.87556,-73.8584,85,2,147,3.88,1,304
14356,40.82345,-73.9033,89,1,185,4.52,3,104
14396,40.82731,-73.91632,100,2,54,1.32,1,0
14430,40.88599,-73.89868,45,6,0,0,2,0
14467,40.85324,-73.86506,40,2,83,2.08,1,276
14579,40.88058,-73.91812,79,186,7,0.18,1,365
14715,40.9008,-73.90639,49,6,2,0.05,1,340
14722,40.8787,-73.90098,35,30,7,0.49,2,155
14748,40.8183,-73.91938,150,5,58,1.45,1,37
14771,40.85139,-73.78414,95,1,227,5.65,1,16
14787,40.82442,-73.86193,45,2,6,0.15,1,0
14835,40.8199,-73.9281,110,1,0,0,1,0
14858,40.81778,-73.90858,60,2,63,1.68,4,336
14934,40.87925,-73.88254,80,1,2,0.05,1,0
15004,40.8522,-73.91014,26,3,21,0.64,2,127
15038,40.8883,-73.91665,150,2,79,1.99,1,267
15111,40.8098,-73.92149,500,10,0,0,1,358
15175,40.80903,-73.92143,125,3,142,3.59,1,185
15190,40.81928,-73.90933,60,2,47,1.22,4,249
15192,40.81725,-73.90929,55,2,31,0.81,4,280
15193,40.81911,-73.90939,60,2,77,1.96,4,171
15407,40.83648,-73.85812,59,1,120,3.11,2,336
15409,40.86323,-73.84638,450,2,81,2.07,4,342
15460,40.83703,-73.85648,75,2,63,1.8,2,150
15472,40.81384,-73.90514,85,5,4,0.31,1,0
15545,40.86947,-73.85993,104,2,33,0.85,5,86
15598,40.89118,-73.84987,99,3,68,1.78,1,2
15793,40.88871,-73.86175,40,1,151,4.01,1,338
15802,40.86412,-73.84664,75,2,92,2.45,1,265
15809,40.82575,-73.92421,175,1,0,0,1,0
15883,40.83211,-73.92052,49,1,33,0.87,1,348
15993,40.83049,-73.87354,51,3,9,0.26,2,89
16023,40.85396,-73.89872,34,1,2,0.05,1,0
16071,40.86032,-73.88493,130,1,0,0,1,365
16298,40.83458,-73.91021,57,90,11,0.31,7,68
16326,40.88493,-73.8618,67,3,205,5.39,1,140
16538,40.84268,-73.89294,68,1,0,0,1,0
16586,40.82909,-73.92249,95,5,0,0,1,0
16607,40.87938,-73.86349,500,2,19,0.56,1,345
16650,40.80884,-73.9302,139,2,28,0.8,4,131
16661,40.80872,-73.93051,49,2,59,1.59,4,148
16662,40.80952,-73.93025,41,2,57,1.54,4,146
16677,40.84559,-73.89815,41,7,22,0.61,2,68
16691,40.83166,-73.81747,89,1,192,5.15,1,303
16704,40.85927,-73.90142,40,21,23,0.61,2,266
16816,40.83041,-73.91838,75,1,0,0,1,0
16824,40.8357,-73.91023,110,90,11,0.3,7,77
16847,40.80842,-73.93136,33,2,63,1.75,4,145
16852,40.81937,-73.90978,45,2,68,1.83,1,156
16869,40.81949,-73.92913,99,1,103,2.87,1,264
16938,40.82716,-73.89911,30,1,11,0.3,1,0
16994,40.82412,-73.90266,350,7,0,0,3,14
16996,40.86048,-73.91181,120,1,0,0,1,0
17041,40.82162,-73.92698,50,2,0,0,1,0
17302,40.89984,-73.86902,85,2,43,1.19,1,299
17345,40.85859,-73.89571,65,1,9,0.25,1,0
17363,40.82296,-73.91429,42,2,2,0.06,1,0
17397,40.8355,-73.83729,71,2,118,3.24,1,34
17493,40.82948,-73.92364,82,4,0,0,2,0
17629,40.86066,-73.85414,50,1,8,0.23,1,280
17633,40.8947,-73.85601,52,3,63,1.78,1,0
17735,40.83736,-73.92318,22,3,14,0.39,1,42
17807,40.86853,-73.88301,120,10,7,0.2,1,327
17930,40.88393,-73.90639,50,2,14,0.4,2,26
18055,40.82148,-73.89122,60,1,8,0.22,1,364
18176,40.84166,-73.86818,425,5,0,0,1,363
18203,40.84277,-73.92588,76,7,40,1.15,1,34
18243,40.81998,-73.90325,75,2,110,3.18,2,350
18283,40.81587,-73.81532,175,2,28,0.92,1,36
18293,40.80779,-73.93095,110,3,7,0.2,1,42
18327,40.83796,-73.9016,38,15,8,0.23,2,24
18490,40.88444,-73.90583,80,2,2,0.06,2,220
18627,40.89581,-73.89778,59,2,7,0.21,2,0
18820,40.86932,-73.90057,30,2,56,1.68,1,38
18832,40.83112,-73.87319,49,3,25,0.73,2,0
18836,40.88985,-73.90747,85,2,16,0.47,1,0
18887,40.88207,-73.83538,299,2,2,0.18,13,358
18889,40.85499,-73.86728,43,4,10,0.3,1,88
18976,40.82974,-73.92092,159,1,0,0,1,89
18993,40.85401,-73.86594,76,7,24,0.71,1,0
19016,40.86533,-73.89713,40,3,1,0.1,1,179
19182,40.90175,-73.89761,77,2,9,0.29,2,0
19194,40.88253,-73.86951,68,1,6,0.19,1,87
19219,40.85585,-73.86486,40,5,65,1.94,2,328
19224,40.85236,-73.86632,35,1,114,3.48,1,0
19253,40.8722,-73.87607,50,3,22,0.76,1,342
19269,40.81658,-73.88889,59,14,13,0.4,4,340
19369,40.81201,-73.90823,100,2,170,5.16,1,83
19375,40.88283,-73.89326,60,3,2,0.07,1,363
19445,40.81072,-73.92349,120,2,26,0.85,1,260
19508,40.86663,-73.84139,35,1,117,4.66,4,34
19565,40.83844,-73.92489,75,4,37,1.21,1,26
19619,40.89121,-73.85131,79,3,18,0.57,1,5
19668,40.82006,-73.90332,80,2,77,2.37,2,365
19791,40.88297,-73.90727,105,3,54,1.68,2,278
19861,40.87529,-73.8762,40,1,1,0.03,1,0
19867,40.88546,-73.90526,55,1,0,0,2,64
20053,40.85018,-73.9167,55,2,0,0,1,364
20055,40.84862,-73.92412,75,1,3,0.32,1,365
20166,40.85711,-73.86474,45,5,30,0.98,2,318
20173,40.89743,-73.86983,68,2,1,0.07,2,39
20196,40.82286,-73.84765,86,2,86,2.76,1,171
20235,40.86352,-73.90503,80,30,0,0,1,365
20251,40.86914,-73.8951,79,3,73,2.79,4,69
20389,40.87372,-73.88625,60,2,3,0.1,1,364
20402,40.88467,-73.90575,30,4,11,0.35,2,0
20416,40.87583,-73.87737,125,1,0,0,1,0
20516,40.90154,-73.89791,125,7,0,0,1,89
20528,40.86605,-73.90694,47,26,3,0.16,1,37
20534,40.87093,-73.8934,58,3,84,2.74,4,75
20559,40.86909,-73.89396,55,3,74,2.42,4,84
20594,40.81841,-73.89067,45,14,18,0.68,4,332
20625,40.82388,-73.9279,60,2,53,1.8,2,169
20627,40.82415,-73.92778,50,2,63,2.06,2,110
20679,40.82441,-73.89454,50,3,61,2.17,2,22
20719,40.84012,-73.86521,40,1,1,0.03,1,0
20729,40.89279,-73.89946,135,6,8,0.32,1,250
20755,40.86084,-73.90288,110,7,0,0,2,40
20799,40.80743,-73.92971,115,5,7,0.23,1,7
20839,40.8179,-73.91456,100,6,0,0,1,365
20843,40.83248,-73.83203,46,4,43,1.65,3,135
20847,40.87692,-73.87427,130,5,0,0,1,89
20907,40.8262,-73.92557,150,4,84,2.87,1,93
20952,40.85188,-73.90321,60,90,5,0.2,7,94
21105,40.85318,-73.90204,71,90,10,0.41,7,310
21126,40.8115,-73.9258,80,7,0,0,2,0
21135,40.82987,-73.86608,60,2,105,3.61,1,131
21139,40.84906,-73.85418,73,3,14,0.61,1,138
21149,40.8562,-73.90899,43,3,36,1.26,5,365
21188,40.87035,-73.89335,79,3,86,2.88,10,78
21191,40.86925,-73.89534,60,3,101,3.43,10,83
21256,40.87924,-73.89791,84,3,114,4,4,63
21297,40.82692,-73.92183,45,5,46,1.55,1,174
21378,40.85615,-73.90077,34,3,7,0.79,1,126
21379,40.87031,-73.89322,79,3,98,3.45,10,68
21380,40.86917,-73.89465,60,3,77,2.7,10,65
21397,40.86673,-73.845,119,3,75,2.74,1,146
21407,40.86686,-73.84207,35,1,16,0.61,4,3
21463,40.84752,-73.82797,89,2,94,3.2,1,252
21538,40.83243,-73.92035,40,1,11,0.42,3,239
21642,40.83173,-73.92824,75,1,127,4.45,1,134
21733,40.84034,-73.83007,20,1,116,4.09,1,5
21809,40.85929,-73.90048,45,22,10,0.36,2,186
21836,40.81632,-73.90991,130,2,62,2.19,1,36
21875,40.87094,-73.89386,79,3,115,4.1,4,71
21949,40.88438,-73.86397,125,1,0,0,1,0
22037,40.86437,-73.83863,43,20,6,0.69,2,104
22041,40.84565,-73.91684,80,4,0,0,1,0
22158,40.8781,-73.89998,99,3,116,4.35,2,86
22173,40.86437,-73.8485,47,2,40,1.58,2,339
22194,40.86868,-73.85483,105,2,73,2.67,5,87
22198,40.8709,-73.89946,60,2,11,0.52,4,365
22216,40.84546,-73.89013,150,1,43,1.57,1,179
22270,40.81034,-73.93166,165,2,20,0.85,1,15
22276,40.81234,-73.91688,42,5,54,2.05,4,314
22277,40.81387,-73.91553,42,5,17,0.65,4,23
22281,40.88534,-73.83434,75,1,15,0.55,1,348
22290,40.82097,-73.92739,145,2,76,3.04,1,139
22310,40.85311,-73.88763,29,4,4,0.15,1,0
22348,40.81217,-73.91777,41,5,21,0.78,4,334
22390,40.88364,-73.83561,70,3,0,0,1,365
22511,40.8134,-73.89893,75,3,6,0.25,1,87
22544,40.84499,-73.91157,60,5,3,0.13,1,0
22551,40.87372,-73.84065,75,1,3,0.11,1,129
22708,40.84647,-73.89299,38,2,33,1.27,2,327
22709,40.85487,-73.91391,53,3,55,2.15,4,80
22737,40.82942,-73.87564,60,2,89,3.36,4,30
22738,40.83081,-73.87587,45,2,74,2.89,4,34
22775,40.86718,-73.86235,33,1,0,0,1,179
22784,40.84992,-73.90346,50,1,6,0.23,1,0
22859,40.83018,-73.83413,42,4,22,1.18,3,147
22860,40.83117,-73.87566,43,2,71,2.71,4,59
22881,40.84289,-73.92688,100,2,107,4.12,5,344
22889,40.81406,-73.88997,65,4,36,1.36,1,365
22898,40.85878,-73.83402,199,2,81,3.17,1,286
22912,40.8298,-73.87715,40,2,62,2.38,4,44
22942,40.84111,-73.92513,80,2,100,3.86,5,338
22987,40.83159,-73.83375,40,4,35,1.36,3,171
23011,40.91169,-73.90564,50,365,0,0,1,363
23073,40.87192,-73.84676,60,1,0,0,2,0
23082,40.84594,-73.89358,45,2,49,1.95,2,324
23094,40.87309,-73.86326,60,1,5,0.19,1,0
23118,40.88702,-73.86575,60,1,39,1.57,1,360
23136,40.87315,-73.87925,65,1,0,0,1,0
23218,40.84473,-73.91175,55,2,112,4.65,1,271
23278,40.85961,-73.86361,49,3,1,0.04,1,0
23281,40.87063,-73.84896,70,1,3,0.12,2,0
